"","C3NET","ARACNE","mrnet","mrnetB","GENIE3","GeCoNet","Corto"
"G19-G89",1,1,1,1,1,1,0
"G106-G236",1,1,1,1,1,1,0
"G188-G254",1,1,1,1,1,1,0
"G216-G299",1,1,1,0,1,1,0
"G284-G332",1,1,1,1,1,1,0
"G8-G700",1,0,0,0,0,0,0
"G23-G992",1,1,1,1,1,1,1
"G253-G1033",1,0,0,0,0,0,1
"G6-G1101",1,0,0,0,1,0,1
"G254-G1116",1,1,1,1,1,1,0
"G187-G1195",1,1,1,1,1,1,1
"G3-G1451",1,1,0,1,1,1,1
"G4-G1532",1,1,1,1,1,1,1
"G73-G1932",1,0,0,0,1,0,1
"G199-G2054",1,0,1,1,1,1,1
"G128-G2157",1,0,0,0,1,1,1
"G187-G2989",1,1,0,0,1,1,1
"G116-G2990",1,0,0,0,1,1,1
"G259-G3162",1,1,1,1,1,1,1
"G176-G3233",1,1,1,0,0,0,0
"G334-G3363",1,0,0,0,0,1,1
"G249-G3545",1,0,0,0,0,1,0
"G73-G4027",1,1,1,1,1,1,1
"G118-G4229",1,0,0,0,0,0,0
"G145-G4356",1,1,1,1,1,1,1
"",1,1,1,1,1,1,1
"G268-G333",0,1,1,0,0,0,0
"G193-G367",0,1,1,1,0,0,1
"G259-G1119",0,1,0,1,1,1,1
"G258-G1987",0,1,1,0,0,0,0
"G199-G2619",0,1,1,1,1,1,1
"G219-G2808",0,1,0,0,1,1,0
"G55-G3433",0,1,0,0,0,0,1
"G55-G3457",0,1,0,1,0,0,1
"G236-G3544",0,1,1,1,1,1,1
"G116-G4206",0,1,1,1,1,1,1
"G259-G4271",0,1,1,1,1,1,1
"G259-G2314",0,0,1,1,1,1,1
"G259-G2929",0,0,1,1,1,1,1
"G254-G259",0,0,0,1,1,1,0
"G259-G666",0,0,0,1,1,1,1
"G23-G890",0,0,0,1,0,0,1
"G23-G900",0,0,0,1,0,1,0
"G23-G999",0,0,0,1,0,0,0
"G23-G1049",0,0,0,1,1,1,1
"G3-G1198",0,0,0,1,0,1,1
"G236-G1868",0,0,0,1,0,1,0
"G244-G2225",0,0,0,1,1,1,1
"G254-G2314",0,0,0,1,1,1,0
"G23-G2505",0,0,0,1,0,0,1
"G278-G2532",0,0,0,1,0,1,1
"G259-G2709",0,0,0,1,1,1,1
"G23-G2732",0,0,0,1,0,0,1
"G199-G2751",0,0,0,1,0,0,1
"G23-G2765",0,0,0,1,0,0,0
"G259-G2821",0,0,0,1,1,1,1
"G23-G2877",0,0,0,1,0,0,0
"G23-G2926",0,0,0,1,0,0,0
"G254-G2929",0,0,0,1,1,1,0
"G254-G3162",0,0,0,1,1,1,0
"G23-G3682",0,0,0,1,0,0,0
"G263-G3893",0,0,0,1,0,0,0
"G199-G4252",0,0,0,1,1,1,1
"G23-G4300",0,0,0,1,0,1,1
"G23-G4322",0,0,0,1,0,0,0
"G188-G259",0,0,0,0,1,1,0
"G110-G329",0,0,0,0,1,1,0
"G219-G329",0,0,0,0,1,1,0
"G110-G353",0,0,0,0,1,0,0
"G219-G353",0,0,0,0,1,1,0
"G110-G413",0,0,0,0,1,0,0
"G219-G413",0,0,0,0,1,1,0
"G120-G418",0,0,0,0,1,1,1
"G110-G431",0,0,0,0,1,1,0
"G219-G431",0,0,0,0,1,1,0
"G11-G448",0,0,0,0,1,0,1
"G244-G650",0,0,0,0,1,0,1
"G73-G839",0,0,0,0,1,0,1
"G4-G907",0,0,0,0,1,1,1
"G219-G911",0,0,0,0,1,0,0
"G73-G931",0,0,0,0,1,0,1
"G244-G1019",0,0,0,0,1,0,1
"G4-G1029",0,0,0,0,1,1,1
"G4-G1034",0,0,0,0,1,1,1
"G145-G1051",0,0,0,0,1,0,1
"G188-G1116",0,0,0,0,1,1,0
"G188-G1119",0,0,0,0,1,1,0
"G254-G1119",0,0,0,0,1,1,0
"G73-G1170",0,0,0,0,1,0,1
"G199-G1222",0,0,0,0,1,0,1
"G116-G1284",0,0,0,0,1,1,1
"G199-G1365",0,0,0,0,1,0,1
"G244-G1404",0,0,0,0,1,0,1
"G110-G1408",0,0,0,0,1,1,0
"G219-G1408",0,0,0,0,1,1,0
"G110-G1457",0,0,0,0,1,1,0
"G219-G1457",0,0,0,0,1,1,0
"G110-G1462",0,0,0,0,1,1,0
"G219-G1462",0,0,0,0,1,1,0
"G244-G1616",0,0,0,0,1,0,1
"G280-G1702",0,0,0,0,1,1,1
"G11-G1783",0,0,0,0,1,0,1
"G110-G1847",0,0,0,0,1,0,0
"G219-G1847",0,0,0,0,1,1,0
"G110-G1903",0,0,0,0,1,0,0
