G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.1719432	0.5520077	0.2586563	0.6995341	0.0427575	0.8023434	0.5187669	0.0233997	0.5194938	0.0154534	0.2951635	0.0497709	0.0231995	0.0042333	0.1108946	0.3866942	0.5274605	0.0608007	0.0015619	0.0210825	0.2021121	0.1017168	0.1402827	0.1319752	0.6403508	0.4823885	0.4236904	0.2575363	0.5917337	0.1805970	0.0485010	0.2809548	0.1738366	0.6637379	0.7587316	0.8049452	0.1229066	0.0486651	0.6272705	0.0427825	0.7431715	0.5311227	0.6476897	0.6075837	0.6955352	0.6364521	0.6411701	0.3632523	0.1395419	0.8759179	0.5634645	0.4157236	0.2210301	0.5148316	0.3190103	0.2963896	0.2020156	0.1251927	0.2966506	0.0113713	0.3121132	0.6805435	0.3933811	0.6647806	0.2724228	0.3299547	0.5397047	0.5899188	0.0070879	0.2083868	0.0192906	0.0330198	0.0864617	0.4035682	0.6041785	0.0335866	0.1019257	0.1777765	0.0255393	0.4882138	0.0985996	0.6207636	0.1909939	0.5574936	0.1676261	0.1641452	0.0795284	0.0407547	0.6921788	0.7150690	0.4927650	0.6938465	0.4039170	0.4955860	0.6962359	0.2717533	0.8805469	0.5570340	0.6900568
0.1730764	0.0000000	0.5530425	0.3636449	0.7066041	0.0271552	0.5148207	0.4662119	0.0124877	0.4771604	0.0066725	0.4447478	0.0282580	0.0121253	0.0152096	0.1081699	0.3342888	0.7452858	0.0450831	0.0002213	0.0520808	0.1764501	0.2145201	0.1063694	0.1370881	0.6272438	0.4546845	0.2750371	0.1560783	0.5132580	0.2862824	0.0490007	0.2863174	0.1096172	0.7016398	0.7749542	0.6589215	0.0685862	0.0501285	0.6840075	0.0872347	0.6824785	0.7018372	0.5666128	0.7366869	0.6593792	0.5316376	0.6284852	0.4271011	0.1568988	0.7211738	0.7045317	0.4633262	0.3637680	0.5404207	0.2248056	0.3282477	0.2702085	0.0878932	0.3004971	0.0301842	0.3722053	0.6745825	0.4691791	0.6619695	0.3934492	0.4946555	0.5010711	0.4338036	0.0185634	0.1279065	0.0198459	0.0304249	0.1179736	0.3557856	0.7846355	0.0100397	0.0832539	0.1904622	0.0292359	0.3991308	0.1379397	0.9456581	0.1270806	0.6839203	0.2214703	0.1432775	0.1081719	0.0366649	0.9151885	0.7788347	0.4534282	0.7770052	0.5558636	0.4859071	0.7382477	0.4060824	0.7998099	0.6045776	0.6337554
0.1237064	0.2655535	0.0000000	0.4579945	0.6920980	0.0415626	0.7552425	0.4372593	0.0186630	0.5104467	0.0271136	0.4094292	0.0302601	0.0106287	0.0039712	0.0823105	0.3341606	0.6249871	0.0757963	0.0056886	0.0667910	0.1962450	0.0999503	0.1022074	0.0846629	0.6558725	0.4285836	0.2414761	0.2418733	0.5078013	0.1859097	0.0362353	0.1661565	0.1558635	0.6841847	0.6761669	0.7018272	0.1051401	0.0885227	0.6394481	0.0314074	0.6617440	0.7277314	0.6264070	0.6643410	0.6257189	0.6708647	0.5746978	0.4093564	0.2033405	0.7176138	0.7104969	0.4239622	0.2640475	0.5939382	0.4452940	0.3248162	0.2607997	0.0979656	0.3127083	0.0072586	0.3315524	0.5534159	0.5648410	0.4916082	0.3040396	0.4033071	0.4229628	0.4545904	0.0212713	0.1537646	0.0338116	0.0575956	0.0549157	0.3774167	0.6114330	0.0223614	0.1392454	0.1378576	0.0425196	0.3765945	0.1174650	0.7315336	0.1278472	0.5567962	0.2523662	0.2581757	0.0539775	0.0557810	0.6235745	0.6994272	0.4608926	0.8708416	0.5624389	0.5302274	0.7280425	0.2740868	0.6996349	0.5986531	0.5599998
0.2148263	0.2386049	0.5699189	0.0000000	0.6376149	0.0583250	0.7454250	0.3838723	0.0079826	0.4650007	0.0221951	0.3537648	0.0335008	0.0095601	0.0116351	0.1199681	0.4563774	0.5585659	0.0692085	0.0043514	0.0231173	0.1628460	0.1990914	0.1652176	0.0918594	0.6635904	0.6126838	0.3929653	0.1726688	0.4288005	0.2344717	0.0233066	0.2151296	0.1773553	0.6542874	0.6711471	0.6685447	0.1168110	0.0525041	0.6519895	0.0381571	0.6321137	0.7835233	0.5347677	0.5450837	0.6546555	0.6294592	0.6775747	0.4541313	0.1552193	0.5652308	0.6264392	0.5935693	0.2916500	0.5977965	0.3376165	0.2873718	0.3446620	0.0705909	0.2570053	0.0104611	0.2501076	0.7964508	0.5424758	0.6453979	0.3681325	0.3824689	0.4518216	0.4626581	0.0321240	0.2125578	0.0382250	0.0247259	0.0841524	0.3962952	0.6308997	0.0360870	0.0983091	0.2190811	0.0337948	0.4014227	0.1546597	0.6962881	0.1726538	0.5880944	0.1921497	0.1202888	0.0802598	0.0360033	0.7955988	0.7644436	0.5256503	0.6240234	0.4400264	0.5408940	0.7481836	0.2466727	0.7386065	0.6139260	0.7953986
0.1585953	0.0402289	0.0790947	0.1324349	0.0000000	0.6800572	0.0076459	0.2061139	0.0073668	0.2897569	0.2672029	0.6651630	0.6884968	0.5581315	0.6584457	0.4708625	0.7979500	0.6038506	0.3690064	0.2945115	0.0227946	0.0405140	0.2289660	0.1428189	0.1428802	0.7065431	0.5318776	0.4232994	0.2216088	0.5373060	0.1805557	0.0449075	0.2349143	0.1296261	0.6269668	0.6705716	0.7599060	0.0963439	0.0334683	0.7324911	0.0707823	0.6106842	0.7662292	0.4852701	0.6074735	0.8362695	0.6980506	0.5407705	0.5053824	0.1541670	0.7346188	0.7051954	0.5798194	0.2483862	0.5125070	0.3767433	0.2001142	0.2498843	0.1284424	0.2760979	0.0249833	0.3163848	0.5819474	0.5309395	0.5011851	0.3986968	0.3953864	0.4246428	0.5013014	0.0278141	0.2028867	0.0289569	0.0533836	0.0609945	0.4218332	0.6442594	0.0238241	0.0892498	0.1416708	0.0237238	0.4548348	0.1128560	0.8057671	0.1775229	0.6480187	0.2181849	0.2022714	0.1177528	0.0792470	0.7223049	0.7287439	0.4287657	0.6655909	0.5066485	0.5578598	0.6322421	0.2825420	0.6420509	0.6116468	0.6682606
0.1322869	0.1902584	0.5136725	0.4822244	0.7307983	0.0000000	0.6680893	0.4985312	0.0139166	0.4699064	0.0144937	0.4513033	0.0762343	0.0169439	0.0120722	0.1173087	0.4351420	0.6148906	0.0883909	0.0084174	0.0506817	0.1754345	0.1368354	0.2144938	0.2096680	0.7389295	0.4803484	0.4040759	0.2490045	0.4399431	0.1491522	0.0154930	0.1875613	0.1418203	0.8136943	0.7849964	0.6506412	0.1654272	0.0479627	0.6847037	0.0672106	0.6565216	0.6122854	0.5500025	0.5629902	0.5723664	0.6803077	0.5967551	0.3943868	0.2148542	0.6103242	0.6222402	0.4631292	0.2794613	0.6386856	0.3155674	0.3089721	0.2826079	0.0601010	0.2184428	0.0228847	0.2490880	0.6757779	0.4550867	0.6640797	0.2472661	0.3771480	0.4301771	0.6104598	0.0154714	0.1670374	0.0264670	0.0617170	0.0694973	0.3962931	0.6914386	0.0293358	0.1116693	0.2045141	0.0714295	0.4854220	0.1301152	0.7131926	0.2278878	0.6477377	0.2023587	0.1368997	0.1108307	0.0378712	0.8237475	0.8289144	0.5529164	0.6922931	0.4902441	0.5393528	0.6505715	0.2833130	0.7104024	0.6974884	0.7494412
0.1683930	0.2306828	0.5254332	0.3712141	0.6891066	0.0762633	0.0000000	0.4848428	0.0301678	0.5362149	0.0157648	0.4022581	0.0213401	0.0252184	0.0187677	0.0734488	0.3447575	0.5366466	0.0531300	0.0043318	0.0354844	0.1436265	0.1061290	0.1711884	0.1667211	0.6420735	0.5859710	0.4359025	0.2175584	0.4528602	0.2088051	0.0231692	0.2018428	0.1195199	0.7024311	0.6613920	0.7908224	0.2020330	0.0939919	0.6614010	0.0893836	0.6487571	0.7786405	0.4983657	0.7606088	0.7433934	0.6745736	0.5053062	0.4843098	0.1089896	0.7862265	0.6291917	0.4278013	0.2503701	0.6022281	0.3495889	0.3342109	0.2478931	0.1385675	0.1960471	0.0117610	0.3007993	0.6684352	0.5248552	0.6565417	0.2891007	0.4155814	0.4458573	0.5765511	0.0104634	0.1071876	0.0166106	0.0526629	0.0815407	0.4313656	0.6227028	0.0272895	0.1189082	0.1557873	0.0322755	0.3961513	0.1589889	0.5764351	0.2186400	0.7466007	0.1677408	0.1331733	0.0787643	0.0511606	0.5929977	0.7727561	0.5494836	0.6792318	0.4245423	0.5454575	0.8241971	0.2622360	0.6536959	0.5956962	0.8320861
0.1401558	0.2332721	0.5919117	0.4294648	0.8367621	0.0175305	0.7538247	0.0000000	0.0117100	0.5358782	0.0110325	0.3235976	0.0375440	0.0237994	0.0148614	0.1440704	0.3706462	0.6212824	0.1058213	0.0036332	0.0181340	0.1373837	0.1003650	0.1470711	0.1256933	0.7365499	0.5127520	0.3390892	0.1878791	0.4921406	0.2167947	0.0291825	0.1550767	0.1236297	0.6414661	0.6324697	0.7163090	0.1403738	0.0919716	0.7694233	0.0466440	0.7179279	0.6049335	0.5398359	0.6940272	0.6944899	0.6092196	0.6854095	0.4604219	0.2230119	0.6626113	0.7332419	0.4151451	0.2137976	0.4467185	0.3996774	0.2408902	0.2400716	0.1287794	0.2442691	0.0270979	0.4244044	0.7034626	0.4928046	0.4302162	0.3587366	0.4002138	0.4402068	0.5518370	0.0150715	0.1908623	0.0333214	0.0618535	0.0720112	0.3540604	0.6781460	0.0106900	0.1556372	0.1223863	0.0218273	0.3552448	0.1209660	0.8346499	0.1152850	0.6450823	0.2259496	0.1663681	0.0977670	0.0425308	0.7134144	0.6906024	0.4279360	0.5902112	0.5589501	0.5072958	0.6865729	0.2899189	0.6125306	0.5928401	0.5840818
0.1480663	0.2574318	0.4106506	0.4403736	0.7311468	0.0478564	0.8042612	0.4941506	0.0000000	0.4137818	0.0182606	0.3144424	0.0349560	0.0108320	0.0084958	0.1107251	0.3216084	0.4741956	0.0760437	0.0037450	0.0484290	0.1597882	0.1302938	0.0714045	0.1219656	0.8097322	0.4198400	0.3538512	0.1855952	0.5250783	0.2754916	0.0188102	0.3234309	0.1339955	0.5491727	0.7480435	0.7308473	0.1581510	0.1185045	0.6309693	0.0268306	0.6586776	0.6394343	0.6010056	0.5664347	0.6280917	0.7030822	0.6525605	0.4104165	0.1564570	0.7784485	0.6629365	0.5240513	0.2830362	0.4726680	0.3439653	0.2676221	0.3119426	0.0591908	0.2418157	0.0097503	0.2436404	0.8216039	0.4888636	0.5709321	0.3827137	0.3617434	0.5229563	0.5644310	0.0035506	0.1691855	0.0049320	0.0671740	0.0524233	0.4552512	0.6587130	0.0173381	0.0749398	0.1409695	0.0235037	0.4514336	0.0904801	0.6997325	0.1409170	0.5900088	0.1968631	0.2118691	0.1002532	0.0350902	0.6486140	0.6529826	0.4067397	0.7636428	0.4980796	0.4500068	0.7131400	0.2628747	0.7815409	0.6157676	0.7503472
0.2855718	0.3138071	0.5970081	0.5773578	0.6012607	0.0350826	0.7795418	0.6523722	0.0184546	0.0000000	0.0053109	0.3152448	0.0187170	0.0132040	0.0147883	0.0751449	0.3989418	0.4431882	0.0863022	0.0029637	0.0597695	0.1551759	0.7234307	0.7407055	0.3958223	0.6495292	0.5337668	0.3577983	0.6707525	0.4844311	0.1164777	0.0513931	0.2355810	0.0747220	0.7192114	0.7654133	0.0027987	0.1418308	0.0684813	0.8090603	0.0505033	0.7369791	0.6217745	0.2959914	0.7239645	0.7003175	0.3819097	0.3745263	0.4477232	0.1445355	0.7836902	0.6784913	0.4733399	0.2678750	0.5719665	0.3163953	0.2171508	0.2847001	0.1724697	0.5530507	0.1655627	0.4628031	0.6125509	0.4720917	0.5085686	0.5479341	0.2780115	0.7742319	0.0932098	0.5592496	0.5653131	0.7604928	0.6666308	0.6615603	0.6042623	0.0429648	0.6151334	0.1216434	0.1685557	0.0183386	0.4640031	0.1561898	0.7222041	0.2243481	0.6696222	0.2098497	0.1418181	0.0500089	0.7033610	0.6649099	0.8419679	0.4254159	0.7892061	0.4236884	0.5619901	0.7974335	0.2648082	0.7133965	0.6444757	0.6433833
