,acea,aceb,acek,fabb,fabd,fabg,fabh,fadd,fade,fadh,fadi,fadj,fadr,hipa,hipb,iclr
dinI_U_N0025_r1,8.09666,8.89153,7.4924,11.7999,11.4839,12.4841,11.6927,8.10141,8.57255,8.30976,7.89805,8.67499,9.31653,8.16063,8.55821,8.87999
dinI_U_N0025_r2,8.08428,8.97226,7.71401,11.8837,11.4079,12.4909,11.7078,8.28453,8.53905,8.31507,7.94731,8.67846,9.29738,8.02302,8.64007,8.95806
dinI_U_N0025_r3,8.1626,8.72618,7.56302,11.8874,11.2281,12.4396,11.7498,8.16202,8.54502,8.39388,8.10158,8.81175,9.31943,7.99629,8.53953,8.79724
dinP_U_N0025_r1,7.79923,8.5562,7.70624,11.7699,11.294,12.4058,11.7469,8.14636,8.45784,8.52172,8.22039,8.76538,9.35047,7.8606,8.4326,8.72411
dinP_U_N0025_r2,7.78849,8.46798,7.62002,11.9508,11.3842,12.5148,11.8605,8.51056,8.56812,8.51765,8.23629,9.09799,9.42172,7.93509,8.66518,8.65934
dinP_U_N0025_r3,8.10021,8.83046,7.63776,11.9906,11.2979,12.473,11.7774,8.41911,8.57925,8.45485,8.34712,8.9956,9.25328,7.96388,8.60248,8.63484
lexA_U_N0025_r1,8.13938,9.09192,7.66458,11.9649,11.2705,12.3708,11.625,8.34795,8.59606,8.45061,8.37016,9.02691,9.27502,8.05743,8.58971,8.86045
lexA_U_N0025_r2,8.08887,9.00062,7.78263,11.9389,11.1454,12.4538,11.6772,8.49325,8.5188,8.47248,8.49609,9.21671,9.47336,7.93794,8.63217,8.74249
lexA_U_N0025_r3,8.0485,9.00896,7.74853,11.983,11.3043,12.4412,11.6909,8.28835,8.5698,8.4909,8.47674,9.02544,9.36231,7.72737,8.65841,8.77359
lon_U_N0025_r1,8.03961,9.0089,7.46224,11.9099,11.1589,12.4909,11.602,8.40556,8.52174,8.29873,8.29906,9.09421,9.36255,8.07661,8.76589,8.85155
lon_U_N0025_r2,7.84616,8.62123,7.63297,11.8993,11.2225,12.3999,11.6771,8.47773,8.31476,8.36194,8.18825,8.93942,9.31615,7.89659,8.45999,8.76568
lon_U_N0025_r3,8.12924,9.04459,7.68469,11.8238,11.1925,12.4595,11.5888,8.27385,8.60365,8.36403,8.0439,8.75957,9.20444,8.16955,8.70965,8.87607
luc_U_N0025_r1,8.04705,8.9609,7.60705,11.8821,11.2146,12.4472,11.7162,8.16601,8.6717,8.31754,8.3316,8.9947,9.49188,7.8814,8.53084,8.76739
luc_U_N0025_r2,8.36998,8.96147,7.71412,12.0558,11.3091,12.4177,11.7205,8.20488,8.475,8.44582,8.26607,9.04922,9.42501,7.96351,8.49932,8.93948
luc_U_N0025_r3,8.05708,8.9349,7.7077,11.9816,11.2501,12.4049,11.6555,8.34018,8.47545,8.33176,8.35799,8.92432,9.40728,8.019,8.62722,8.872
mazF_U_N0025_r1,8.42852,9.26684,8.59386,12.0581,11.4665,12.285,12.0695,8.54066,8.61548,8.33601,8.12071,8.76198,9.3588,7.85659,8.32054,8.97204
mazF_U_N0025_r2,8.26682,9.09429,8.41017,12.0224,11.4573,12.3251,11.9156,8.68868,8.78677,8.39839,7.98729,8.91143,9.3546,7.99896,8.44962,9.01167
mazF_U_N0025_r3,8.08212,9.07036,8.21084,11.923,11.4308,12.3259,11.8779,8.74206,8.59837,8.36464,8.26615,9.1266,9.28669,7.91742,8.44707,8.98841
recA_U_N0025_r1,7.85933,8.90447,7.75971,11.9352,11.2692,12.4115,11.7695,8.67614,8.76894,8.41228,8.23393,9.00963,9.29614,7.96592,8.7749,8.75914
