,Atf3,Cdh1,Cdh2,Crb3,Ets1,Fn1,Hmga2,Id1a,Id2,Id3,JunB,Ncam,Ocln,Serpine1,Snail1,Vim,Zeb1,Zeb2,pSmad2
TC_0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TC_20.0,0.5311248976,0.7978518513,1.0351654723,1.1667560617,1.6864118619,0.9513677901,1.4184108867,1.0321617781,1.2625911888,0.7455850135,,1.0680062166,1.2698991053,1.0434775244,1.0518789379,1.1940562632,0.7468491057,1.3097612321,4.1736803133
TC_40.0,0.5150149583,0.8819397411,0.9448059569,1.0746908599,2.5129379661,1.2769615327,1.5198803928,0.808032345,1.061004973,0.6980133956,1.2346419996,0.9780510786,2.4364196185,1.0059774075,1.1343835569,1.1704194143,0.9924492475,1.1940167753,4.4060065403
TC_60.0,0.3677064249,1.0496779678,0.8857685248,0.8415415582,2.4388028425,0.9633078668,1.3953634247,0.9885839529,1.2376857743,0.5846717739,1.5688933993,0.8520921131,4.7497449955,1.0764874348,1.3819842455,1.1490572165,1.0525010363,1.3191014983,2.8278960113
TC_80.0,0.3037950917,1.1264403398,0.9158254817,0.8144689019,2.7579330164,1.154430354,1.6303435581,0.8143331745,0.9668598013,0.4876731116,1.6656697541,1.0436943666,6.3900117794,1.1388106923,1.244781727,1.1604428101,1.0094870343,1.1743156087,4.2979818281
TC_100.0,0.1876621001,0.8996377602,0.6934941635,0.9325898555,2.5001762871,0.9435167858,1.4153783363,0.8358405092,1.1778446984,0.4723422825,1.724901447,0.9643157835,8.605661362,0.9117424561,1.2217868268,0.9619969842,0.9822610949,1.2282975059,3.949102159
TC_120.0,0.1965958606,0.8960903976,0.8787162149,0.6104478761,1.972355738,1.1843391038,1.4624704954,1.0530287304,0.8848460364,0.3779298826,2.1148767904,0.8967430545,12.2249902326,0.9620225581,0.9783766833,1.1055131306,0.9510382059,0.9019003409,4.7044466852
TC_140.0,0.0476978224,0.7934237344,0.7942065147,0.5804249608,2.3244038544,1.276731671,1.6085046506,0.942638172,0.9106888264,0.3897523197,1.8126410931,1.0849330296,15.3449205251,1.0475888657,1.1300922545,1.0208063998,0.9668931705,0.6432130069,5.1145828096
TC_160.0,0.0476143001,0.847421494,0.9576209889,0.4490220179,2.7501542093,1.050563092,1.4556179317,1.4489591494,0.889252477,0.3156357221,1.9353932088,0.933109655,16.9546259591,0.819962844,1.2038089293,0.9233003897,0.9163471885,0.5762644391,3.7796603253
TC_180.0,0.0614228714,0.9664014213,0.6489518362,0.3907802054,2.2577323127,1.0987832259,1.2401287111,2.1136304187,0.6592194047,0.4301466093,1.9390081199,1.0438190192,14.3538294792,1.0805785269,1.1085671449,0.6475284252,0.7519151528,0.306854095,3.7569399257
TC_200.0,0.1029620047,0.7943456906,0.8213855498,0.370751144,2.1212369661,1.1789497054,1.5797251951,4.0543405182,0.5928380292,0.3402299712,1.9439440462,0.8702470403,16.7868254703,1.0676019433,1.3136476121,0.4069547813,0.6266222305,0.1951684277,4.4284369194
TC_220.0,0.0290804728,1.0276301537,0.8222940894,0.3351718069,2.6574680219,1.198157406,1.2482232376,8.75413085,0.47728236,0.3582853994,2.0086090355,0.9442980197,12.2095441585,1.031955276,1.262345159,0.2395178554,0.5166502826,0.0969564041,3.9000896339
TC_240.0,0.0497917612,1.0005586977,0.759888514,0.4206215216,1.9767647648,1.2504108728,1.3594163416,12.5367603598,0.2262027883,0.3809319091,1.6124547201,1.0090033256,14.5869927771,1.166673979,1.6280072092,0.1882622601,0.3074142992,0.2375013737,4.1436099668
TC_260.0,0.0,0.9326568809,0.7317895599,0.4147286249,2.4955454944,1.3302905135,1.5142555528,12.9979642421,0.2740709184,0.3640473803,2.0867110331,0.8352920712,15.840983042,1.1204380395,1.7037304072,0.1472041025,0.1579974285,0.3861267786,4.6011586322
TC_280.0,0.0302572129,0.7826575842,1.0042250078,0.3065551085,2.5503258528,1.1552795564,1.7707517148,11.1853233652,0.2291026188,0.427623517,2.0861543564,0.8880379707,12.6410074109,1.1675297667,1.8789963909,0.1763369162,0.0763380564,0.963481759,4.2264343061
TC_300.0,0.0528075481,1.0720995801,0.9832365989,0.3133218037,2.125304788,1.1628732619,1.3875922646,6.0058397755,0.3943443876,0.4511449146,1.7845429546,0.9777730432,17.1197105621,1.0728491087,2.1892361687,0.2701333955,0.0525794766,1.5631282264,4.8108334333
