,MAPKKK_activator,MAPKKK,P_MAPKKK,MAPKKK_inactivator,MAPKK,P_MAPKK,PP_MAPKK,MAPKK_Pase,MAPK,P_MAPK,PP_MAPK,MAPK_Pase
0,1e-05,0.003,0.0,0.0003,1.2,0.0,0.0,0.0003,1.2,0.0,0.0,0.12
1,9.90322e-06,0.0029318,1.36256e-05,0.000299986,1.18337,0.0164132,2.93045e-05,0.000284428,1.19948,0.00028822,6.80907e-08,0.119885
2,9.90509e-06,0.00287458,2.50971e-05,0.000299975,1.14824,0.0499081,0.000342973,0.000256974,1.19384,0.00342334,9.73811e-06,0.118644
3,9.90666e-06,0.00282656,3.48225e-05,0.000299965,1.10526,0.0880274,0.00131125,0.000231173,1.17613,0.0133582,0.000150932,0.114833
4,9.90797e-06,0.00278638,4.31641e-05,0.000299957,1.05828,0.125624,0.00322432,0.000209873,1.13977,0.0340572,0.00101362,0.107446
5,9.90907e-06,0.00275293,5.0419e-05,0.00029995,1.00908,0.160273,0.00629009,0.000192906,1.07718,0.0702592,0.00456714,0.0960516
6,9.90997e-06,0.00272533,5.68171e-05,0.000299943,0.958765,0.190796,0.0107042,0.000179466,0.975762,0.128709,0.0169239,0.0807917
7,9.91071e-06,0.00270288,6.25249e-05,0.000299937,0.908138,0.21679,0.0168966,0.000168642,0.809388,0.217242,0.0581354,0.0625742
8,9.91129e-06,0.00268498,6.76433e-05,0.000299932,0.857799,0.238685,0.0267446,0.000159174,0.536512,0.320427,0.191045,0.0443678
9,9.91175e-06,0.00267108,7.21753e-05,0.000299928,0.807982,0.258541,0.0456604,0.000148961,0.243144,0.331181,0.451517,0.0332514
10,9.91209e-06,0.00266064,7.6075e-05,0.000299924,0.759121,0.278484,0.0714917,0.00013847,0.112077,0.2676,0.639665,0.0298198
11,9.91234e-06,0.00265313,7.94041e-05,0.000299921,0.712452,0.297443,0.0982244,0.000129375,0.0632805,0.21601,0.737975,0.0287086
12,9.9125e-06,0.00264808,8.22509e-05,0.000299918,0.668871,0.314089,0.124726,0.000121819,0.040824,0.180141,0.795392,0.0282235
13,9.9126e-06,0.0026451,8.46788e-05,0.000299915,0.628755,0.327957,0.150743,0.000115579,0.0287075,0.154566,0.832605,0.0279684
14,9.91264e-06,0.00264386,8.67309e-05,0.000299913,0.592192,0.339099,0.176028,0.000110413,0.021463,0.135711,0.858421,0.0278179
15,9.91264e-06,0.00264403,8.84386e-05,0.000299912,0.55913,0.347796,0.200305,0.00010612,0.0168164,0.121434,0.877164,0.0277222
16,9.91259e-06,0.00264534,8.98288e-05,0.00029991,0.529449,0.354413,0.223312,0.000102539,0.0136802,0.110403,0.89121,0.027658
17,9.91252e-06,0.00264754,9.0927e-05,0.000299909,0.502985,0.359318,0.24483,9.95418e-05,0.0114797,0.101747,0.901983,0.0276131
18,9.91243e-06,0.0026504,9.17595e-05,0.000299908,0.479552,0.362857,0.264698,9.70298e-05,0.00988828,0.0948718,0.910388,0.0275807
19,9.91232e-06,0.00265371,9.23545e-05,0.000299908,0.458945,0.365331,0.282811,9.49229e-05,0.00870956,0.0893634,0.91703,0.0275568
20,9.9122e-06,0.00265731,9.27415e-05,0.000299907,0.44095,0.367,0.299124,9.31561e-05,0.00781971,0.0849206,0.922329,0.0275387
21,5e-05,0.003,0.0,0.0003,1.2,0.0,0.0,0.0003,1.2,0.0,0.0,0.12
22,4.95581e-05,0.0026748,6.51279e-05,0.000299935,1.11972,0.0766032,0.00067548,0.000238593,1.18792,0.00671941,3.73676e-05,0.117363
23,4.95985e-05,0.00242815,0.000117151,0.000299883,0.953292,0.210069,0.00753689,0.000173896,1.05129,0.085205,0.00683671,0.0918497
24,4.96287e-05,0.00224463,0.000164769,0.000299835,0.756114,0.318362,0.0380683,0.000137116,0.340286,0.34318,0.346224,0.0363933
25,4.96497e-05,0.0021164,0.000214431,0.000299786,0.55433,0.381125,0.171251,0.000105593,0.0227505,0.139171,0.853497,0.0278495
26,4.96622e-05,0.00204034,0.000271464,0.000299729,0.370979,0.38888,0.346666,8.69134e-05,0.00589862,0.0742139,0.934815,0.0275013
27,4.96661e-05,0.00201716,0.000339411,0.000299661,0.224249,0.343829,0.538457,7.61251e-05,0.00250321,0.0490877,0.963243,0.0274321
28,4.96612e-05,0.00204697,0.000411806,0.000299589,0.122648,0.271029,0.71295,7.00953e-05,0.00144338,0.0375229,0.975841,0.0274105
29,4.96493e-05,0.0021191,0.000464863,0.000299536,0.0641776,0.203736,0.838834,6.70359e-05,0.00104794,0.0320708,0.98168,0.0274025
30,4.96351e-05,0.00220585,0.00047675,0.000299524,0.0367089,0.162457,0.907681,6.5687e-05,0.000896913,0.0297096,0.98419,0.0273994
31,4.96231e-05,0.00227863,0.000458458,0.000299542,0.0259369,0.145543,0.93542,6.51719e-05,0.000845142,0.0288535,0.985097,0.0273983
32,4.96152e-05,0.00232678,0.000434027,0.000299567,0.022583,0.142177,0.942165,6.50129e-05,0.00083322,0.0286527,0.98531,0.027398
33,4.96107e-05,0.00235387,0.000415168,0.000299585,0.0222159,0.144097,0.94062,6.49952e-05,0.000835911,0.0286984,0.985262,0.0273981
34,4.96086e-05,0.00236714,0.00040338,0.000299597,0.0228846,0.14719,0.936861,6.50265e-05,0.000842538,0.0288102,0.985144,0.0273982
35,4.96077e-05,0.00237262,0.000396901,0.000299604,0.0237439,0.149871,0.933319,6.5067e-05,0.000848858,0.0289164,0.985032,0.0273983
36,4.96074e-05,0.00237419,0.000393742,0.000299607,0.024466,0.15175,0.930716,6.5101e-05,0.000853548,0.0289949,0.984949,0.0273984
37,4.96074e-05,0.0023741,0.000392441,0.000299608,0.0249689,0.152901,0.929061,6.51248e-05,0.000856552,0.0290451,0.984895,0.0273985
38,4.96075e-05,0.00237347,0.000392068,0.000299608,0.0252759,0.153528,0.928127,6.51393e-05,0.000858255,0.0290735,0.984865,0.0273985
39,4.96076e-05,0.00237282,0.000392096,0.000299608,0.0254418,0.153825,0.927662,6.51472e-05,0.000859103,0.0290876,0.98485,0.0273986
40,4.96077e-05,0.00237232,0.000392251,0.000299608,0.0255195,0.15394,0.92747,6.51508e-05,0.000859455,0.0290935,0.984844,0.0273986
