,Unnamed: 0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G100,G0
Unnamed: 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
G1,0.0,0.0,0.285887016,0.117153553,0.289406451,0.08625791,0.027824077,0.152989394,0.183998282,0.080427659,0.135830911,0.104849718,0.133665799,0.047267033,0.040375634,0.040375634,0.037496363,0.044150289,0.130112145,0.060589745,0.027333184,0.02514939,0.155514543,0.172783252,0.19695252,0.205483031,0.105625406,0.10319048,0.142969041,0.190941724,0.091661381,0.148650964,0.012860225,0.093150505,0.045905119,0.073611867,0.082727867,0.257191665,0.045625834,0.047668153,0.066615181,0.043133448,0.070343403,0.099834933,0.138675253,0.121296091,0.175580403,0.190225056,0.232924167,0.154697123,0.270698283,0.077066545,0.12214285,0.163623266,0.214696068,0.124677287,0.092767698,0.177525293,0.137401501,0.216624684,0.210168034,0.175570928,0.242729663,0.054844934,0.139366955,0.152139257,0.154719645,0.177005397,0.246468522,0.219627231,0.169929093,0.233036862,0.157479185,0.199308553,0.263422958,0.165991104,0.167946287,0.200437554,0.0898747,0.034841179,0.031809813,0.169224019,0.063214465,0.070305654,0.058260087,0.063717623,0.114765151,0.107608221,0.051412131,0.209522469,0.084794335,0.0955421,0.093209092,0.07294642,0.124847961,0.209428708,0.112430888,0.081854387,0.133658291,0.038989083,0.113887905,0.150842329
G2,0.0,0.285887016,0.0,0.120743641,0.201941916,0.108957112,0.04202153,0.142118053,0.224672397,0.060109505,0.130076648,0.098765891,0.181647692,0.08967224,0.055268259,0.055268259,0.084953656,0.083640065,0.117108043,0.083171615,0.062101831,0.002895394,0.117024613,0.173556511,0.196808402,0.197481771,0.073781467,0.048711298,0.111529844,0.160846914,0.069533743,0.106003922,0.015798277,0.121155112,0.018079968,0.11461628,0.103847619,0.130086894,0.041898752,0.059885886,0.064947036,0.08892696,0.087895693,0.116660937,0.133164083,0.063263846,0.149320825,0.1646513,0.174878536,0.121271695,0.234561849,0.118138866,0.189098895,0.094998401,0.16039149,0.151189662,0.141983381,0.192429927,0.140492012,0.196997677,0.175208211,0.13232269,0.154414011,0.115720439,0.095084338,0.074855834,0.069995161,0.164961771,0.217371804,0.176599408,0.107305088,0.125939154,0.097408867,0.12645241,0.195494132,0.162910754,0.132615066,0.140367236,0.068516295,0.060943956,0.053331537,0.120237231,0.052045335,0.082323643,0.116612353,0.057222385,0.125009115,0.07858473,0.092870954,0.150263456,0.093032915,0.075495422,0.09566122,0.063269147,0.15138127,0.083886553,0.045830507,0.125390474,0.099179884,0.074213829,0.058981556,0.156752756
G3,0.0,0.117153553,0.120743641,0.0,0.177519645,0.125072721,0.091064576,0.126116409,0.092939691,0.024319171,0.071236616,0.100617974,0.132509415,0.088114116,0.070395756,0.070395756,0.099308045,0.170571044,0.09002495,0.073762385,0.054503851,0.036168531,0.070114196,0.149313352,0.079334968,0.132049289,0.072590702,0.134795501,0.109455061,0.083441018,0.062498946,0.113093673,0.024606646,0.14098758,0.075269553,0.102921158,0.052770718,0.087287727,0.03829232,0.04058553,0.043189085,0.08755449,0.112803504,0.071568298,0.128889982,0.046438227,0.076820506,0.094607759,0.07265301,0.135289844,0.09214677,0.059887247,0.09751427,0.092869201,0.110768646,0.112207558,0.098080519,0.049158373,0.110946535,0.077552538,0.086273954,0.04459534,0.109562188,0.060515397,0.175833695,0.077944679,0.082271122,0.063907578,0.105424769,0.076359064,0.017845774,0.082030322,0.008760858,0.049491622,0.050896984,0.081172327,0.022189545,0.032856283,0.029736155,0.043211121,0.027938357,0.062675428,0.079516615,0.069409961,0.04481598,0.065290534,0.102654697,0.08636364,0.121188841,0.041941199,0.051197425,0.144325278,0.141696141,0.088531158,0.130953526,0.102070348,0.092023728,0.057590656,0.101400442,0.075853305,0.076141837,0.086522625
G4,0.0,0.289406451,0.201941916,0.177519645,0.0,0.134119328,0.06625572,0.115800858,0.303728845,0.083624848,0.114190611,0.116135312,0.203363778,0.128424546,0.074131203,0.070658944,0.077127811,0.16836569,0.075125161,0.117599353,0.077333851,0.016159609,0.202247908,0.212060508,0.228959469,0.260163994,0.099718973,0.099687725,0.155041251,0.197601607,0.050459173,0.152895044,0.017380886,0.133741373,0.070878971,0.115556187,0.161885967,0.219210145,0.07846084,0.064221054,0.075926678,0.043992976,0.083459343,0.116765998,0.092462286,0.079890463,0.131114646,0.190201905,0.185116389,0.168744702,0.106757456,0.048858918,0.133412159,0.10055032,0.107795861,0.111875862,0.151153244,0.133035193,0.17585075,0.126765169,0.17316826,0.115521451,0.24919657,0.080265008,0.066449981,0.139133344,0.143450001,0.147659667,0.172185587,0.187865518,0.141031652,0.191049854,0.142924027,0.160321024,0.187322497,0.177009751,0.190054052,0.142924027,0.063656801,0.054148787,0.03271376,0.146136299,0.062261089,0.05519063,0.070514833,0.089668595,0.095514104,0.121394616,0.098478255,0.15227213,0.092868522,0.096852515,0.101489725,0.137225669,0.110538556,0.110611084,0.114082208,0.109407268,0.078730555,0.046041144,0.101525591,0.187297988
G5,0.0,0.08625791,0.108957112,0.125072721,0.134119328,0.0,0.070419544,0.05698992,0.118933663,0.066894197,0.088046197,0.086197066,0.106021835,0.127086071,0.068947375,0.08439376,0.080453187,0.091229305,0.069201055,0.051510754,0.08290331,0.0214366,0.119121785,0.149581914,0.148730706,0.126125297,0.048922509,0.068505935,0.0610495,0.047172894,0.062666353,0.040337476,0.012860225,0.055763673,0.006705078,0.050166329,0.05248001,0.043351256,0.018034514,0.031174715,0.069033262,0.038004078,0.046750381,0.041881049,0.042351227,0.002319171,0.041952946,0.078116946,0.121760073,0.0917014,0.105328728,0.033085449,0.047468315,0.050679498,0.081769271,0.051183903,0.041246754,0.057001018,0.068127894,0.098706516,0.13241407,0.083216441,0.142610642,0.043869574,0.063156055,0.040107028,0.040759947,0.025262894,0.103352806,0.044568348,0.03825874,0.098942375,0.049485148,0.054305912,0.051888735,0.074935013,0.034397429,0.05471763,0.031327058,0.035467027,0.045599686,0.02554022,0.012094168,0.063371957,0.086978465,0.05297645,0.079290339,0.075608961,0.072723426,0.080167234,0.046283234,0.040907524,0.014959386,0.05332996,0.111267831,0.02548083,0.047914138,0.050552244,0.021787182,0.083332234,0.042793927,-0.026268585
G6,0.0,0.027824077,0.04202153,0.091064576,0.06625572,0.070419544,0.0,0.033887419,0.066211303,-0.000346215,0.063900389,0.041522586,0.049856846,0.065294952,0.06241695,0.06241695,0.060985454,0.085747538,0.051955536,0.052659119,0.042673182,-0.002316524,0.043149487,0.071755243,0.02583658,0.011159286,0.025938716,-0.001527776,0.045235416,0.01289154,0.028971586,0.032153741,0.001516428,0.04715672,0.028327295,0.021499939,0.011098821,0.004074607,-0.00367333,0.020082555,0.008612543,0.017812022,0.040245466,0.012565418,0.056664871,0.003941283,0.035421557,0.023340482,0.056091982,0.028175189,0.04213269,0.00153399,0.009786251,0.044597651,0.026765631,0.008070448,0.014913999,0.01045871,0.034700758,0.071669485,0.058180529,0.025643878,0.009295536,0.020651709,0.036387348,0.016605437,0.032866162,0.020510658,0.013412087,0.018689579,0.002408203,0.02192738,0.000944908,0.020126792,0.030226533,0.022861679,-0.000738196,0.025040333,0.004486353,0.014772638,0.023593355,0.007044133,0.020085572,0.027714756,0.003840244,0.007341557,0.013088979,0.018299983,0.021417271,0.026503628,0.007773538,0.002656394,0.00219356,0.017242295,0.027364625,0.026579878,0.027032233,0.015785015,0.020608325,0.045563432,0.018914028,0.013376507
G7,0.0,0.152989394,0.142118053,0.126116409,0.115800858,0.05698992,0.033887419,0.0,0.074411995,0.038040067,0.074257116,0.07379362,0.0966127,0.068482734,0.062665019,0.047994625,0.056936628,0.081152317,0.032757596,0.052660946,0.049230312,0.017101247,0.102624873,0.066847684,0.10456977,0.086974927,0.069464557,0.039082066,0.095656245,0.06597834,0.031202506,0.086718103,0.011189528,0.036568727,0.008863099,0.05948082,0.084640726,0.051702377,0.037274411,0.03378612,0.053748793,0.016631459,0.06409191,0.076476109,0.061528457,0.076425483,0.088431784,0.087481902,0.095722421,0.10467586,0.126451987,0.049297533,0.019929864,0.081158494,0.063125011,0.037342396,0.027515808,0.097915145,0.088697029,0.184996154,0.074329458,0.086299994,0.091666509,0.047371634,0.091195421,0.028611183,0.055230752,0.095099312,0.12006262,0.002550623,0.022352927,0.110034352,0.054532085,0.061450272,0.066117631,0.053133691,0.187184242,0.035669142,0.025909762,0.059874364,0.04480951,0.088317327,0.037307769,0.059323586,0.088927943,0.038762493,0.046990904,0.040618545,0.025012004,0.046448352,0.099079788,0.042410303,0.024755562,0.031409901,0.076931605,0.088990504,0.065335986,0.063538901,0.017772032,0.023827806,0.011953645,0.091638484
G8,0.0,0.183998282,0.224672397,0.092939691,0.303728845,0.118933663,0.066211303,0.074411995,0.0,0.031625297,0.170685539,0.091852938,0.124962108,0.07957561,0.0766988,0.0766988,0.107579044,0.08865913,0.117820852,0.100730263,0.095745616,0.0225709,0.142816571,0.195539817,0.194116883,0.187044383,0.091225672,0.031901621,0.137178217,0.180513549,0.072992454,0.095536999,0.006204863,0.055531941,0.043473782,0.086042055,0.126100405,0.138838246,0.054306491,0.044046957,0.110399216,0.059038484,0.052841318,0.126240946,0.12304465,0.084088219,0.110708781,0.154953216,0.178092236,0.126366539,0.177594186,0.109982267,0.116115737,0.160554886,0.195202575,0.115325957,0.102484239,0.120054411,0.069067101,0.19185982,0.193508878,0.153239918,0.184282261,0.138517515,0.073959777,0.088621136,0.170189924,0.20209738,0.210880671,0.221378327,0.10866575,0.13605987,0.121545458,0.126047666,0.175134456,0.169571497,0.184994615,0.145640883,0.085809212,0.101017184,0.05335111,0.120648485,0.069672745,0.083776547,0.097884488,0.085412235,0.097907991,0.091657123,0.071085559,0.163825434,0.095220537,0.041860906,0.052438811,0.086900497,0.177099212,0.055357531,0.097277565,0.070814211,0.076322843,0.087089687,0.104556696,0.122733308
G9,0.0,0.080427659,0.060109505,0.024319171,0.083624848,0.066894197,-0.000346215,0.038040067,0.031625297,0.0,0.03205764,0.119210902,0.107892914,0.125019594,0.003525729,0.003525729,0.067853195,0.097953043,0.032933535,0.059644456,0.067722336,0.010199725,0.071086914,0.03376622,0.038281566,0.092682001,0.007422778,0.035101259,0.056915638,0.083909488,0.060663316,0.041516768,0.001753128,0.026503586,0.023751721,0.040701509,0.040206997,0.035547958,0.112664595,0.103142991,0.054825513,0.002768885,0.058092074,0.028627388,0.028636142,0.039786301,0.060845894,0.018050036,0.033111627,0.134240165,0.074256772,0.012876484,0.031205914,0.035037584,0.040165147,0.060151466,0.020801372,0.067926686,0.093971547,0.047473049,0.050296543,0.043708992,0.068546288,0.025296144,0.039623645,0.068680152,0.037291604,0.059140771,0.048342167,0.069407041,0.02123019,0.038697813,0.019644941,0.065035716,0.028839625,0.023459008,0.046431844,0.043740366,0.010077748,0.058555947,0.005318241,0.088302122,0.012575987,0.095027559,0.08005364,0.129812135,0.135625852,0.115111409,0.095923079,0.045325615,0.03720475,0.027470339,0.07168853,0.090308931,0.02855248,0.061620341,0.087010111,0.034903733,0.01106858,0.03320029,0.027718187,0.069112086
