source,target,weight
G1,G5,0.678
G1,G672,0.69
G1,G825,0.753
G1,G921,0.683
G1,G964,0.73
G1,G1574,0.691
G1,G1679,0.689
G1,G2149,0.712
G1,G2600,0.74
G1,G2686,0.692
G1,G2757,0.705
G1,G2762,0.756
G1,G3190,0.674
G1,G3395,0.679
G1,G3501,0.758
G1,G3580,0.673
G1,G3758,0.676
G1,G3809,0.694
G1,G3923,0.678
G1,G4126,0.698
G1,G4353,0.712
G3,G1198,0.75
G3,G1451,0.779
G3,G1729,0.683
G3,G1801,0.677
G3,G4007,0.691
G4,G907,0.692
G4,G1029,0.798
G4,G1034,0.718
G4,G1179,0.702
G4,G1532,0.89
G4,G2848,0.674
G4,G3044,0.816
G4,G4157,0.681
G5,G106,0.695
G5,G185,0.675
G5,G273,0.731
G5,G286,0.677
G5,G372,0.723
G5,G409,0.753
G5,G412,0.778
G5,G461,0.754
G5,G516,0.775
G5,G553,0.763
G5,G586,0.746
G5,G606,0.838
G5,G620,0.687
G5,G625,0.716
G5,G627,0.723
G5,G652,0.68
G5,G654,0.672
G5,G672,0.721
G5,G739,0.719
G5,G751,0.845
G5,G758,0.713
G5,G772,0.669
G5,G794,0.688
G5,G825,0.714
G5,G837,0.668
G5,G909,0.681
G5,G921,0.709
G5,G928,0.674
G5,G964,0.725
G5,G970,0.687
G5,G974,0.775
G5,G983,0.71
G5,G1022,0.756
G5,G1084,0.718
G5,G1163,0.826
G5,G1206,0.677
G5,G1311,0.694
G5,G1317,0.686
G5,G1321,0.724
G5,G1355,0.736
G5,G1379,0.714
G5,G1540,0.668
G5,G1561,0.729
G5,G1574,0.712
G5,G1624,0.805
G5,G1676,0.721
G5,G1678,0.705
G5,G1679,0.84
G5,G1817,0.817
G5,G1820,0.859
G5,G1845,0.67
G5,G1955,0.722
G5,G2005,0.74
G5,G2029,0.71
G5,G2049,0.668
G5,G2124,0.719
G5,G2149,0.716
G5,G2151,0.715
G5,G2186,0.77
G5,G2223,0.688
G5,G2230,0.746
G5,G2295,0.81
G5,G2415,0.8
G5,G2425,0.756
G5,G2454,0.676
G5,G2549,0.678
G5,G2574,0.69
G5,G2600,0.678
G5,G2686,0.754
G5,G2762,0.725
G5,G2838,0.692
G5,G2842,0.68
G5,G2954,0.774
G5,G2995,0.712
G5,G3041,0.722
G5,G3068,0.757
G5,G3103,0.722
G5,G3148,0.767
G5,G3182,0.736
G5,G3217,0.669
G5,G3227,0.693
G5,G3388,0.693
G5,G3405,0.669
G5,G3501,0.8
G5,G3541,0.683
G5,G3576,0.71
G5,G3580,0.735
G5,G3646,0.78
G5,G3666,0.77
G5,G3678,0.683
G5,G3694,0.748
G5,G3758,0.812
G5,G3760,0.754
G5,G3763,0.702
G5,G3784,0.67
G5,G3809,0.785
G5,G3811,0.675
G5,G3886,0.678
G5,G3923,0.882
G5,G3946,0.776
G5,G3969,0.693
G5,G3989,0.685
G5,G4004,0.796
G5,G4031,0.7
G5,G4037,0.686
G5,G4104,0.667
G5,G4126,0.736
G5,G4210,0.729
G5,G4247,0.697
G5,G4290,0.701
G5,G4294,0.705
G5,G4321,0.669
G5,G4333,0.795
G5,G4468,0.731
G7,G729,0.693
G7,G1691,0.684
G8,G3596,0.678
G13,G193,0.676
G13,G197,0.846
G13,G749,0.758
G13,G1057,0.915
G13,G1113,0.751
G13,G1282,0.897
G13,G1326,0.895
G13,G1485,0.939
G13,G1498,0.963
G13,G1665,0.936
G13,G1751,0.959
G13,G2796,0.883
G13,G3092,0.677
G13,G4123,0.682
G13,G4146,0.708
G13,G4283,0.871
G13,G4397,0.934
G13,G4408,0.701
G16,G167,0.714
G16,G1359,0.673
G17,G2253,0.78
G17,G2698,0.826
