"","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100"
"G1",0,1.38850455449082e-05,1.35924526381226e-07,8.82413274298203e-06,9.0379111764789e-08,3.40285850696507e-09,3.35569146374735e-07,9.0266267927842e-07,1.06702069750021e-08,1.50734006824614e-06,4.70154283735231e-09,5.79559173191508e-08,3.95945292751763e-09,8.65331824435432e-08,1.8992207792311e-08,4.55011321857942e-07,0,9.62062656359018e-07,6.84844010445032e-08,0,1.77199134264241e-08,1.80897210423068e-06,8.59492860803613e-06,4.97657324842917e-06,3.68311787063485e-06,8.26135805946198e-07,8.87272714501297e-07,3.12618442186654e-06,6.64459534177219e-06,3.23489736924149e-08,5.88253106169192e-08,7.60691634426679e-08,5.5946314472659e-08,1.21680376511832e-07,4.1298447164134e-08,6.97950509031579e-06,1.06542987806514e-05,3.82651590337628e-07,0,3.00031820689593e-06,1.81810864270059e-08,7.85810917799739e-06,3.85248217066411e-07,1.14605685262356e-06,3.01339799271995e-07,1.43587502847039e-06,7.14273637210358e-07,3.30733674396783e-06,2.74739796981408e-06,4.72938273773165e-07,1.83597045047751e-06,1.72716715589204e-06,2.61313011673497e-06,1.47909946530423e-06,1.54474381977879e-06,5.02557457444367e-06,1.06504896334048e-06,2.53799288106545e-07,4.67707640524829e-07,5.93937303088432e-07,1.55454315779187e-07,1.73945259549226e-05,1.6488254467995e-07,2.29093597523255e-06,1.17910578826936e-05,1.23846803972934e-05,5.55980467175404e-07,1.86231489446927e-06,4.14735677518101e-06,8.61613445926437e-06,1.61425281260249e-05,1.06215173239132e-05,9.66474592807794e-06,9.51203837018245e-06,4.29610674968593e-07,4.44248738012843e-06,9.47069318074529e-06,1.73344514129509e-08,1.26288783985374e-07,1.76391494357176e-08,9.76878969328748e-07,8.7836909539517e-08,1.9985374415905e-07,1.08363036776581e-07,8.51839201563293e-07,1.09305678106763e-06,1.95681678248509e-06,5.83988644746562e-08,1.19943972664136e-05,5.12631068199768e-07,5.43631391361053e-08,3.2751621473767e-06,1.56760375164966e-06,3.17855221934872e-07,1.98839936009818e-06,1.53897252886324e-06,4.11730729814555e-07,8.83229130836607e-07,6.78076208004207e-07,1.52648875759001e-07
"G2",1.95257239474915e-05,0,6.45333271383974e-06,8.25780178545655e-06,1.14315884604817e-05,2.01050858619366e-05,7.33617613839434e-06,8.7243051966687e-06,2.23248187648848e-07,3.09561304623552e-06,1.19301710742635e-06,2.26767791902126e-06,3.2774037554696e-06,1.78075284692091e-05,1.76497157149292e-05,9.58447599715678e-06,6.43938278640345e-06,3.5645746378415e-06,2.39547679141812e-06,3.20994446525379e-06,7.31565088361279e-07,6.93207595993262e-06,8.93806400857911e-07,3.80187354174314e-07,3.64245073208913e-07,6.45731209167186e-07,6.28330714139887e-07,1.13915486727908e-07,4.61237463992405e-07,1.06812759417828e-06,9.58372006723217e-08,4.41128319496178e-08,7.29622670382241e-07,3.90398702600402e-07,7.83252582158168e-06,2.73168780210681e-05,1.92112242149528e-06,4.0075150219965e-07,3.75303567936006e-07,4.30052785306921e-08,1.04957356250405e-06,2.77366872056784e-05,7.51103259205666e-07,8.67418407042364e-07,1.43994232005866e-06,5.21953275321027e-06,2.01658986345921e-06,1.20750108832646e-06,1.31642525889474e-06,9.47772585682656e-06,3.94357337074734e-07,2.53545779468452e-06,1.38784089343998e-06,3.12603713291791e-06,1.31103582740168e-06,7.05591096184659e-07,3.46863575799261e-06,1.89814260131513e-06,2.42804011476894e-06,8.54159988565161e-07,1.1806341570847e-07,7.42889504201421e-07,2.9627504509979e-07,9.76410351879738e-08,5.4368029853831e-06,2.39727329276181e-08,6.34948932069252e-06,3.77072699834643e-06,3.87354765676378e-07,1.00155556563746e-06,9.68296493112632e-06,1.33989627109049e-06,9.56901222741504e-07,3.92384977970555e-06,1.06285145536368e-06,8.63253254856438e-07,1.18052081070447e-06,8.28498112504015e-08,1.63082176222311e-07,3.13998991286768e-08,4.03234399124757e-07,5.68638150706846e-07,4.37038145832721e-06,3.42428881373944e-07,3.78714265871934e-08,1.13713135892675e-06,4.44338881750272e-08,5.73921015033939e-07,1.59861148716543e-06,2.31412387066198e-06,5.19989913010164e-07,4.57644113196595e-07,7.82572283423446e-07,2.69438904694176e-06,2.73475661752074e-06,1.70115904860964e-06,0,2.60917017190293e-06,6.48104086967826e-07,3.63567160249206e-07
"G3",1.17505292026622e-07,1.89056434647157e-06,0,1.78725818660147e-06,9.18822454463505e-06,1.87190637019854e-05,3.58249868756068e-06,2.01915785340038e-06,5.03680125802661e-07,2.40854645219613e-06,1.41150326397948e-06,5.72372790625667e-07,1.98772414818743e-06,1.66784499730937e-05,1.73925984175891e-05,1.06849685859231e-05,5.42868172622003e-06,3.8071833120806e-06,1.45661829542326e-06,3.73428442740675e-06,8.97327344342461e-08,1.17050625797317e-06,5.60913376034062e-07,4.22588933990931e-07,1.05876264340616e-07,3.72456472303298e-07,2.04438405058304e-05,9.11470933327904e-08,6.57407646296719e-07,8.63740990463639e-07,7.54594769083441e-07,3.88995038529153e-07,1.82806834938221e-06,1.71527437564375e-07,3.28355504896099e-07,9.7782188002863e-07,2.47523827326851e-07,1.21272046647291e-07,7.87522718943396e-07,3.56999112077054e-08,8.82921731845102e-09,1.63734216518791e-07,5.29745047758303e-07,2.21962339807208e-07,7.61410839638153e-08,1.16721390979605e-07,2.69147338086103e-05,5.55826310832909e-07,7.407765772456e-08,3.60362970585712e-06,2.69088842078242e-06,5.24652246265091e-07,9.13261229544429e-07,3.46256143012106e-08,6.93930846009308e-07,4.93918857531836e-07,1.31603071181043e-06,5.07408020803395e-06,2.71009700434822e-08,3.95257529898936e-07,3.90979251086718e-08,9.18452479607072e-07,9.39051709997623e-07,7.50354675410861e-06,9.05360512331669e-07,2.79086180221554e-07,9.53251510209707e-06,2.65304239219245e-07,1.5049991783612e-07,0,6.97050198911818e-07,2.30967908667195e-09,7.14886506278874e-08,0,6.31683359395321e-07,8.04547453796928e-08,6.8255746227139e-09,5.0251128874652e-08,1.64817698667428e-07,2.30292153623925e-08,1.03943251745627e-06,2.81720911598483e-07,8.03249087012126e-07,5.56236217637948e-07,1.49200278238087e-07,5.34984909554943e-06,1.1454800850099e-06,2.66309292630661e-06,0,4.98468664982572e-07,1.83013867789693e-05,5.57499959923169e-06,9.47462755283187e-07,1.20138338928389e-06,4.28381204500336e-07,9.51822062962218e-07,1.57491957222913e-06,9.55848628280252e-07,9.65077261490704e-07,1.7913646284679e-07
"G4",5.6194571107933e-05,3.59402956413572e-05,2.25443163561677e-05,0,3.18650163138238e-05,5.92236573961342e-05,2.36924294369098e-05,4.41564168650253e-05,1.83845356592527e-05,4.01815352366098e-05,6.52252802381334e-06,2.35491762435684e-06,1.60724387722915e-05,6.41702810466124e-05,5.93844669801053e-05,4.94103770407911e-05,2.510101320821e-05,1.00044746902867e-06,9.62060335921355e-06,1.16378873525176e-05,1.55391432850244e-07,3.77754841074871e-06,4.03262088404166e-05,1.69736520324984e-05,0.000377712127925734,1.85514324237124e-06,1.34760115477357e-05,9.14313116368339e-06,5.1283222434649e-05,7.67469026856042e-07,2.06827663577559e-06,6.30618929110515e-08,3.6133086464884e-06,5.09667580750278e-07,5.35314213524377e-06,0.000102092181864928,3.04967498650918e-05,1.60337659616106e-05,9.56304887953582e-06,2.51593384425866e-06,2.14164298839468e-07,5.83553177114273e-06,1.73943607296424e-06,2.03385749911845e-06,8.26992223337146e-06,4.07797199189642e-06,4.76080220116325e-06,7.33435359499144e-06,5.72565273244795e-06,8.80119728645721e-07,3.35931906367923e-06,1.44536439284724e-06,3.47638486370215e-06,2.13085673330192e-07,1.58803377095886e-06,7.27498568852872e-07,6.00003245179979e-06,1.18433147830732e-06,9.94879480853698e-07,1.92706098405714e-05,5.54367556330058e-07,8.27434097784544e-06,7.80477237491153e-07,4.28436542212361e-06,7.41563647162778e-06,6.22744695984227e-07,3.3237139480341e-06,3.35090369064304e-05,1.87227723556211e-05,3.9741286710648e-05,4.1191015618484e-05,4.65026031880283e-05,3.95625191741627e-05,6.03016519845594e-05,1.1556548333499e-05,3.21460879761002e-05,5.44489150201309e-05,3.08215271234493e-08,7.32817225034294e-08,2.68278682434479e-07,8.38841366211605e-06,3.21174331838215e-07,4.44849474597524e-07,1.64177479375582e-05,4.63287806821658e-06,4.20992085024349e-05,7.73123427136188e-06,7.24370820338998e-06,6.88993016154771e-05,3.00725312977413e-07,8.62223489065628e-07,1.46049544557085e-06,9.96804066943611e-06,1.60639117522893e-06,2.6272962168731e-05,2.46420824798504e-06,2.84256768111423e-06,5.94861940385049e-06,3.6911975696537e-06,9.41302728031757e-07
"G5",2.03455372240421e-06,1.19588753237235e-05,2.12498957364347e-05,9.1243024203676e-06,0,8.48154436093033e-05,1.87337759835473e-05,1.32864468146199e-05,6.75037743911838e-06,7.22377356672581e-06,1.69506733511124e-05,9.53849897410419e-06,8.09325883189056e-05,7.37862220950662e-05,9.27662765582301e-05,5.25580414820999e-05,2.45297093613956e-05,2.61214979404975e-05,9.53546431470894e-06,1.58492392153335e-05,5.94677129887412e-06,9.79104819663545e-06,8.74194261254705e-06,4.66671102998098e-08,2.64166622233112e-06,2.24014911936028e-06,1.05168780071395e-06,6.18759539433429e-07,4.51436582320402e-06,9.10560977473519e-07,1.45272147866992e-06,1.19301520306366e-07,0,7.44014900852561e-07,1.95699853849711e-06,1.053648829681e-06,4.97161581126215e-08,7.82462783308977e-06,5.15727649038356e-06,1.54015253907068e-06,1.07920818419215e-08,2.34376093476726e-06,1.31850842748047e-06,3.50527134159301e-06,6.45439473218308e-06,5.72477966261084e-06,2.02640237994377e-06,1.09703531727246e-06,3.27474100306017e-07,2.83982233190412e-05,2.62431016461453e-06,1.49780940542735e-06,3.17071759158565e-06,2.34764588671417e-07,4.70211417016397e-07,4.65939913875472e-05,3.05454437922674e-05,2.63451205624667e-07,5.53805711273062e-06,2.46221232997586e-06,5.88535234514326e-07,2.78466427866455e-06,1.84951436733431e-05,1.26399612795444e-06,6.80822948375768e-06,8.0320414947258e-07,3.59344882091117e-07,3.5196834101201e-07,1.0867831233429e-07,5.92437525611309e-09,3.86820142988166e-07,1.2563507135368e-08,4.42007795379856e-07,2.9108919745832e-08,1.82466053509261e-07,6.3651800628909e-08,4.55410857277405e-08,6.45762392325554e-06,6.13908961996874e-06,3.40644686240463e-06,1.19186982440408e-05,3.78303278171832e-07,9.63702694906358e-07,1.04033132816923e-05,4.32591422015432e-06,5.62329837634533e-06,2.94739197550303e-06,6.69349278875556e-06,1.34076237775686e-07,7.50051483363477e-07,9.73597553402536e-06,4.59713790345899e-06,5.20180761849906e-07,4.40949885892329e-06,1.33419344121371e-06,6.11309989280641e-06,6.90208919885459e-07,1.80405355705738e-06,3.34184318720268e-06,1.41134174309492e-06
"G6",1.61576472641777e-06,1.28037720352283e-05,4.16416142447571e-05,1.08270034926311e-05,6.05091415923386e-05,0,5.63103565658642e-05,9.41484821585623e-05,9.50637285058831e-06,5.82475566796953e-06,9.86172547333923e-06,4.30210484768317e-06,3.05122672900511e-05,0.000110179760074178,0.00010618438895856,9.76344463484685e-05,3.19678345338065e-05,4.92504600410114e-05,1.60578615993225e-05,2.86686323096735e-05,1.16909242985361e-06,9.99358073744422e-06,5.72827131666436e-07,1.35607478660168e-06,8.13291925957595e-07,6.80855251337478e-07,2.42565961833578e-05,4.59471383485102e-06,1.2647459011082e-06,1.53466643648084e-06,2.54376037889461e-06,1.6100147196923e-07,2.25007731542091e-05,9.94346756185594e-08,1.09934202701202e-06,1.30403899866993e-06,0,1.66076124998537e-05,5.09735235295471e-06,8.60344817802704e-07,4.65107742884179e-08,4.15081647870375e-08,1.89410362939387e-05,1.04661854771474e-07,6.79735420901271e-07,5.45982937383212e-07,4.52559205284021e-07,1.28395092426481e-06,8.78355358122849e-07,2.03026841308023e-06,1.37476685698992e-06,3.76552000622001e-07,9.59862418623707e-07,1.72758517180687e-06,9.03309212730202e-08,2.07838283618767e-05,0,2.16997036554522e-06,2.08449896859494e-06,5.09591556109774e-07,2.05532158346313e-06,6.0635086120472e-07,1.91938100633086e-06,1.37051501855438e-05,7.54251094790314e-06,6.69771447780188e-06,1.09665200866483e-06,8.83817878397485e-07,3.07837923878228e-07,1.35132816800208e-09,2.7843287126341e-07,5.62851736855843e-09,8.18379488139314e-08,1.51509810698432e-08,3.61975480043484e-06,9.36708237261154e-06,1.21680017997941e-07,7.4472964563081e-07,2.2957439969738e-06,2.58817465310931e-06,3.99941977263776e-06,1.21673943934831e-07,1.81593651882884e-06,1.58604502826169e-05,4.73949973975201e-06,2.20922428298176e-06,2.91680740874106e-06,7.2550917931903e-06,4.41454553283524e-08,6.59089788989749e-06,9.54111023796011e-07,2.92377227558207e-06,3.38402482483552e-07,2.42685724261336e-06,5.76865926027989e-07,1.62955580474772e-07,8.44513006274971e-07,3.70631977148686e-06,1.0085052384867e-06,8.7308426298049e-06
"G7",1.58377876511717e-08,5.2474327985475e-06,7.3745629146612e-07,4.58391833163555e-07,2.2695035246467e-07,1.08261912218232e-06,0,1.22160511145268e-07,7.19513973674982e-09,7.95263064663993e-08,2.75036488103117e-07,5.98876875610219e-07,1.14954828386189e-07,9.21328058427559e-07,1.00026569525457e-06,5.28767925021267e-07,2.05352067016658e-07,7.33833187851449e-08,2.12891998229601e-07,1.27457946978905e-07,3.56920885314413e-08,7.08852747542908e-08,9.67632018467624e-09,3.31893199270327e-08,9.3611103877913e-07,4.26593781201629e-08,1.52956974597598e-07,9.61769212124601e-08,9.61694962906058e-08,6.39102208513343e-07,1.0719839713738e-07,1.51803500710361e-08,9.00726114138024e-08,4.15254607812893e-08,3.76760835692826e-08,5.38277818733587e-07,1.90387839149334e-08,1.57775619131628e-07,1.20111449151739e-07,6.51527949882135e-08,1.22282469101071e-07,3.67204230992363e-07,3.58004410087414e-06,8.78720294367733e-08,3.20546911883268e-07,8.78084172355493e-08,1.33959717753329e-07,6.61763769783507e-08,1.98961809184082e-07,5.52123851382815e-07,1.8618348256713e-06,3.75074832414498e-07,2.39802500706534e-07,7.39476228951784e-08,9.05094761499509e-08,7.15427077710102e-08,2.3322032723009e-06,1.86973758912331e-07,1.01392861671081e-08,2.42941526586519e-08,8.47175558534902e-09,5.69381437608877e-08,5.97775176396675e-07,1.35421034291482e-07,5.85015292494046e-08,1.14378556857111e-07,9.39226948868847e-08,3.30747400513491e-08,3.03567715661175e-09,0,1.8743317410288e-07,1.55327110972719e-10,7.23928927279005e-09,1.50749761758705e-08,1.04085879262513e-08,1.03458427237154e-06,1.16364496844364e-09,1.0349901076324e-07,1.44057398139006e-08,1.33103788020351e-08,4.41913124494015e-07,2.62232744453245e-07,1.79634446591097e-07,3.76813366065342e-08,6.15136032633704e-07,1.0194543140708e-07,3.44800941208357e-08,1.12846876205615e-06,1.18998464446731e-09,3.61116680692524e-07,2.63696871421905e-07,3.55845804869903e-09,2.90062714925902e-07,1.21064260766333e-07,1.7673943446631e-06,7.07806902742384e-07,1.40147034813391e-07,5.31406250555051e-07,2.22159249432948e-08,7.21263163071271e-08
"G8",1.12650524079852e-06,1.68167032949008e-05,2.27461551664602e-06,1.10978872870711e-05,8.30096602790236e-06,7.0039106899253e-06,2.45909163890397e-06,0,3.06024127565871e-07,2.38645081972369e-06,1.405259912755e-06,1.58652462749691e-06,2.67885071553646e-06,1.24093885753021e-05,8.59765119490004e-06,6.51079599572581e-06,2.46740162342797e-06,2.35515202159296e-06,9.67642351608086e-07,3.37951242661666e-06,2.29002621882653e-07,2.71212077333848e-06,5.4701015375629e-06,3.98477090678637e-06,2.72396393069656e-06,7.82131760231414e-07,3.11615398854943e-07,1.58462574488734e-06,5.15139269940084e-06,2.18813125977024e-07,3.15207084468726e-07,6.59118003418334e-08,9.34759412633737e-08,2.70850816758242e-07,5.65389907527825e-07,2.41714764119071e-05,6.0638725270227e-06,3.1481480010077e-07,3.19981010498349e-07,4.24267216491097e-06,4.3288232555317e-09,3.31478794326105e-07,1.30695772880258e-06,5.04112186899643e-07,3.49585708174813e-07,5.80760653281941e-06,8.92949764411877e-06,2.4628432144026e-06,4.77689429097986e-07,3.04077525498025e-06,8.76132107550291e-06,3.05432508786287e-06,5.27082518076131e-06,8.74174096475452e-07,1.02063240589224e-06,1.42532546370552e-06,3.71186198860806e-06,1.189168895085e-06,2.93751280505682e-07,1.21729510549546e-06,4.22743143639209e-07,1.82639150005551e-06,1.30118917115499e-07,6.04185220317834e-07,1.31835166712942e-07,1.39271701649891e-07,3.39061742781917e-06,9.30978442563296e-06,5.43909352674403e-06,4.20638319739966e-06,1.03746909885179e-05,5.03723025583522e-06,6.69457538307558e-06,1.01423131598117e-05,3.91356588405889e-06,3.59797359874089e-05,8.63195983133651e-06,4.79122356383046e-08,3.10113688428697e-07,7.36321610534844e-09,1.48940597689725e-05,1.08785704864942e-06,1.288622133043e-06,1.22069293650332e-06,3.06402943443375e-06,8.11248827606179e-07,2.32362901188381e-07,3.52103023851672e-08,7.9658456487904e-06,3.43924355409134e-07,8.11282363353096e-08,5.50443361500818e-07,6.04753447212122e-06,5.8348026499547e-07,4.10920026980079e-07,1.64152551146299e-06,6.73789832189897e-07,2.71551721745882e-07,1.05341121761782e-07,1.04890573648701e-06
"G9",4.21255168816817e-06,3.94280026723117e-06,3.0664490824357e-06,1.68893566002458e-05,3.71694651809865e-06,1.12314549102555e-06,0,3.79144296145695e-07,0,1.69353252256226e-06,4.78614760778382e-05,1.71155677509744e-05,3.31434167622585e-05,4.43683221466855e-07,3.6464098252502e-07,2.49839839685523e-05,6.17700982610706e-05,2.744200716884e-07,1.7470653203651e-05,2.5397764967909e-06,5.55665487439907e-07,3.98992550629147e-07,5.75811521352957e-07,3.89624319159539e-06,3.41652497529865e-05,7.07125190789855e-06,2.31824797071676e-06,1.50136199098709e-06,6.43661070622908e-06,1.36444861953906e-05,2.45892554912962e-07,5.65840156795197e-06,4.12969077538936e-05,3.61880382645994e-06,1.32986587548175e-06,5.70847875054707e-06,1.48857233107909e-07,0.000102914168823422,0.000144486040351352,5.73384114388383e-06,8.51662365453511e-08,1.57173021541997e-06,1.45621881248456e-06,0,4.30603301333075e-06,6.27778473964416e-07,1.21496145478746e-07,4.5997450555257e-07,1.31385378636146e-05,1.83507390737591e-05,3.70704010107766e-06,8.2022377244643e-07,5.83930735420049e-06,1.85442315915145e-07,1.62672315579651e-06,3.19611171096541e-06,3.36777454908721e-07,4.3754786910823e-05,1.00437012814246e-07,1.26491564684652e-06,1.52726255828576e-07,9.02027066821367e-06,1.33272970992293e-06,1.3283991762092e-06,5.65287102802482e-06,1.59349346112691e-05,8.86243101961501e-07,2.17381939080703e-07,3.5161967866908e-07,9.7359315176315e-09,2.47687360797607e-07,2.07294152801279e-08,3.50838210121621e-08,2.51917713301497e-06,5.30483696244103e-05,1.29719507579738e-06,5.96265205947445e-08,3.89103742273978e-08,9.85517416991173e-07,5.47497305007202e-07,1.6350443893362e-07,8.22459663834706e-06,2.83112178370944e-05,7.39792702719952e-05,7.80589286424843e-05,4.60836739918726e-06,0.000109152294540874,0.000100901711516253,2.43193414520941e-07,1.49330430698081e-06,2.94672552445736e-06,1.13123494089032e-05,2.12383468184873e-05,2.10406844107014e-06,7.04636084793527e-07,1.20473574358011e-06,5.41275977213632e-06,6.73411509419543e-07,5.36220526484155e-06,4.30193449397993e-07
"G10",7.55528606025061e-07,1.89150330293767e-06,1.11193929073189e-06,1.1601205292611e-06,4.00895178728958e-06,3.65245984350757e-06,1.0623832751916e-06,6.39580933286566e-07,1.06918573684575e-07,0,4.15776116596367e-07,1.89203198007731e-07,6.41304521217125e-07,4.5866755657238e-06,5.34502240715953e-06,2.94715333588686e-06,3.50727485013251e-06,7.13581943152634e-06,6.29171904014422e-07,5.61958622114459e-06,2.74344500291168e-09,5.90578180739248e-06,1.27179005859549e-06,5.23778789318174e-07,1.07299143477625e-07,1.36724192416622e-07,3.58629233340987e-07,4.13229820392366e-07,3.60942760921816e-07,2.41458208076948e-07,1.72176685463803e-06,1.20457906023687e-08,2.34858605709001e-07,7.00559224300171e-07,5.02917067850408e-08,5.98648039736797e-08,5.52362168603967e-07,2.04800897755222e-08,1.18022830878798e-07,2.3215562833249e-07,2.56215428089059e-08,4.47125278145963e-06,1.76103602259533e-07,5.18245670270241e-06,7.80223994817004e-07,8.28785847020731e-06,3.48590691858631e-06,3.51876329350684e-06,1.75873066857608e-06,5.84616747276158e-06,1.88042192851739e-06,7.40831428816102e-06,2.21072814034451e-06,7.48787169618772e-07,9.21672060076941e-07,2.95875592216715e-06,5.73305138133148e-06,1.4222043143966e-06,1.75061120881776e-07,2.4359024241266e-06,2.28721484701964e-07,4.13159919529406e-08,3.58856751627316e-07,7.58098369622227e-07,0,3.03037627372847e-07,1.50524338613173e-07,1.7039715817621e-06,5.4625541200629e-08,6.41673611133435e-08,1.24006304453552e-07,2.85413878365804e-07,4.16178528452812e-07,1.45406633571529e-07,2.58437088976914e-07,1.412236962955e-07,1.98389665249423e-06,7.79886477052957e-07,8.57234770778161e-08,1.1164193066422e-07,2.85348957972231e-07,1.81666697335612e-07,5.30833372181847e-07,4.16045688002081e-08,0,1.08922196673548e-05,3.59261611567996e-08,2.11441534620713e-07,2.80486441097077e-07,4.61485033558635e-07,4.07514100880031e-07,2.14277117141569e-07,7.37260953416723e-07,2.82780911403067e-07,1.01592738992697e-05,6.46449483637018e-07,5.1261362214719e-08,4.24201150595908e-07,3.49470098785669e-08,6.9019721109161e-07
